School Name,School Code,School ID
California State University Bakersfield (CSUB),U2Nob29sLTE1OA==,158
California State University Chico,U2Nob29sLTE1OQ==,159
California State University Dominguez Hills,U2Nob29sLTE2MA==,160
California State University Fresno,U2Nob29sLTE2MQ==,161
California State University Long Beach,U2Nob29sLTE2Mg==,162
California State University - Northridge,U2Nob29sLTE2Mw==,163
California State University - Sacramento,U2Nob29sLTE2NA==,164
California State University San Bernardino,U2Nob29sLTE2NQ==,165
California State University Fullerton,U2Nob29sLTE2Ng==,166
California State University -  East Bay,U2Nob29sLTE2Nw==,167
California State University Monterey Bay,U2Nob29sLTE2OA==,168
California University of Pennsylvania,U2Nob29sLTE2OQ==,169
Calumet College of St. Joseph,U2Nob29sLTE3MA==,170
Calvin University,U2Nob29sLTE3MQ==,171
Campbell University,U2Nob29sLTE3Mw==,173
Campbellsville University,U2Nob29sLTE3NA==,174
Canisius College,U2Nob29sLTE3NQ==,175
Capital University,U2Nob29sLTE3Ng==,176
Capitol Technology University,U2Nob29sLTE3Nw==,177
Cardinal Stritch University,U2Nob29sLTE3OA==,178
Carleton College,U2Nob29sLTE3OQ==,179
Carlow University,U2Nob29sLTE4MA==,180
Carnegie Mellon University,U2Nob29sLTE4MQ==,181
Carroll University,U2Nob29sLTE4Mg==,182
Carroll College,U2Nob29sLTE4Mw==,183
Carson-Newman University,U2Nob29sLTE4NA==,184
Carthage College,U2Nob29sLTE4NQ==,185
Case Western Reserve University,U2Nob29sLTE4Ng==,186
Castleton University,U2Nob29sLTE4Nw==,187
Catawba College,U2Nob29sLTE4OA==,188
The Catholic University of America,U2Nob29sLTE4OQ==,189
Cazenovia College,U2Nob29sLTE5MA==,190
Cedar Crest College,U2Nob29sLTE5MQ==,191
Cedarville University,U2Nob29sLTE5Mg==,192
Centenary College of Louisiana,U2Nob29sLTE5Mw==,193
Center for Creative Studies College of Art and Des,U2Nob29sLTE5NA==,194
Central Baptist College,U2Nob29sLTE5NQ==,195
Central Bible College,U2Nob29sLTE5Ng==,196
Central College,U2Nob29sLTE5Nw==,197
Central Connecticut State University,U2Nob29sLTE5OA==,198
Central Methodist University,U2Nob29sLTE5OQ==,199
Central Michigan University,U2Nob29sLTIwMA==,200
University of Central Missouri,U2Nob29sLTIwMQ==,201
Central Washington University,U2Nob29sLTIwMg==,202
Centre College,U2Nob29sLTIwMw==,203
Chadron State College,U2Nob29sLTIwNA==,204
Chaminade University,U2Nob29sLTIwNQ==,205
Champlain College,U2Nob29sLTIwNg==,206
Chapman University,U2Nob29sLTIwNw==,207
Charleston Southern University,U2Nob29sLTIwOA==,208
Charter Oak State College,U2Nob29sLTIwOQ==,209
Chatham University,U2Nob29sLTIxMA==,210
Chesapeake College,U2Nob29sLTIxMQ==,211
Cheyney University,U2Nob29sLTIxMg==,212
The Chicago School of Professional Psychology,U2Nob29sLTIxMw==,213
Chicago State University,U2Nob29sLTIxNA==,214
Chicago-Kent College of Law,U2Nob29sLTIxNQ==,215
Christendom College,U2Nob29sLTIxNg==,216
Christian Brothers University,U2Nob29sLTIxNw==,217
Christian Theological Seminary,U2Nob29sLTIxOA==,218
Christopher Newport University,U2Nob29sLTIxOQ==,219
Cincinnati Christian University,U2Nob29sLTIyMA==,220
The Citadel - The Military College of South Carolina,U2Nob29sLTIyMQ==,221
Baruch College,U2Nob29sLTIyMg==,222
Brooklyn College,U2Nob29sLTIyMw==,223
City College of New York,U2Nob29sLTIyNA==,224
College of Staten Island (CUNY - Staten Island),U2Nob29sLTIyNQ==,225
Hunter College,U2Nob29sLTIyNg==,226
John Jay College of Criminal Justice,U2Nob29sLTIyNw==,227
Medgar Evers College,U2Nob29sLTIyOQ==,229
New York City College of Technology,U2Nob29sLTIzMA==,230
CUNY Queens College,U2Nob29sLTIzMQ==,231
Claflin University,U2Nob29sLTIzMg==,232
Claremont McKenna College,U2Nob29sLTIzNA==,234
Pennsylvania Western University - Clarion,U2Nob29sLTIzNQ==,235
Clark Atlanta University,U2Nob29sLTIzNg==,236
Clark University,U2Nob29sLTIzNw==,237
Clarke University,U2Nob29sLTIzOA==,238
Clarkson College,U2Nob29sLTIzOQ==,239
Clarkson University,U2Nob29sLTI0MA==,240
Clayton State University,U2Nob29sLTI0MQ==,241
Clemson University,U2Nob29sLTI0Mg==,242
Cleveland Institute of Music,U2Nob29sLTI0Mw==,243
Cleveland State University,U2Nob29sLTI0NA==,244
Coastal Carolina University,U2Nob29sLTI0Ng==,246
Coe College,U2Nob29sLTI0Nw==,247
Cogswell Polytechnical College,U2Nob29sLTI0OA==,248
Coker University,U2Nob29sLTI0OQ==,249
Colby-Sawyer College,U2Nob29sLTI1MQ==,251
Colgate University,U2Nob29sLTI1Mg==,252
Misericordia University,U2Nob29sLTI1Mw==,253
College of Charleston,U2Nob29sLTI1NA==,254
Utah State University Eastern,U2Nob29sLTI1NQ==,255
The College of New Jersey,U2Nob29sLTI1Ng==,256
College of Notre Dame,U2Nob29sLTI1OA==,258
Notre Dame of Maryland University,U2Nob29sLTI1OQ==,259
